# time	cmd_angle	cmd_speed	odom_v(m/s)	odom_omega(rad/s)	R(m)
1779638647.808	   +0.0	  +0.0	 +5.0000	 -0.0007	      +inf
1779638647.908	   +0.0	  +0.0	 +5.0000	 -0.0006	      +inf
1779638648.008	   +0.0	  +0.0	 +5.0000	 -0.0005	      +inf
1779638648.108	   +0.0	  +0.0	 +5.0000	 -0.0004	      +inf
1779638648.208	   +0.0	  +0.0	 +5.0000	 -0.0003	      +inf
1779638648.308	   +0.0	  +0.0	 +5.0000	 -0.0002	      +inf
1779638648.408	   +0.0	  +0.0	 +5.0000	 -0.0002	      +inf
1779638648.508	   +0.0	  +0.0	 +5.0000	 -0.0001	      +inf
1779638648.608	   +0.0	  +0.0	 +5.0000	 -0.0001	      +inf
1779638648.708	   +0.0	  +0.0	 +5.0000	 -0.0001	      +inf
1779638648.808	   +0.0	  +0.0	 +5.0000	 -0.0001	      +inf
1779638648.908	   +0.0	  +0.0	 +5.0000	 -0.0001	      +inf
1779638649.008	   +0.0	  +0.0	 +5.0000	 -0.0001	      +inf
1779638649.108	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638649.208	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638649.309	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638649.408	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638649.508	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638649.608	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638649.708	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638649.808	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638649.908	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.008	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.108	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.208	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.308	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.408	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.508	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.608	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.708	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.808	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638650.908	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638651.008	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638651.108	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638651.208	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638651.308	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638651.408	   +0.0	  +0.0	 +5.0000	 -0.0000	      +inf
1779638651.508	   +0.0	  +0.0	 +5.0000	 -1.0735	    -4.658
1779638651.608	   +0.0	  +0.0	 +5.0000	-220.0053	    -0.023
1779638651.708	   +0.0	  +0.0	 +5.0000	 +1.2377	    +4.040
1779638651.808	   +0.0	  +0.0	 +2.5600	 -0.1320	   -19.400
1779638651.908	   +0.0	  +0.0	 +1.3107	 -0.2700	    -4.855
1779638652.008	   +0.0	  +0.0	 +0.8865	 +1.6793	    +0.528
1779638652.108	   +0.0	  +0.0	 +2.5710	 -0.0504	   -51.028
1779638652.208	   +0.0	  +0.0	 +3.5657	 -0.0570	   -62.599
1779638652.308	   +0.0	  +0.0	 +2.1697	 -0.0240	   -90.416
1779638652.408	   +0.0	  +0.0	 +0.7110	 -0.0064	  -110.898
1779638652.508	   +0.0	  +0.0	 +0.1491	 -0.0010	  -147.591
1779638652.608	   +0.0	  +0.0	 +0.0489	 -0.0003	      +inf
1779638652.708	   +0.0	  +0.0	 +0.0128	 -0.0001	      +inf
1779638652.808	   +0.0	  +0.0	 +0.0066	 -0.0000	      +inf
1779638652.908	   +0.0	  +0.0	 +0.0021	 -0.0000	      +inf
1779638653.008	   +0.0	  +0.0	 +0.0003	 -0.0000	      +inf
1779638653.108	   +0.0	  +0.0	 +0.0001	 -0.0000	      +inf
1779638653.208	   +0.0	  +0.0	 +0.0001	 -0.0000	      +inf
1779638653.308	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638653.408	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638653.508	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638653.608	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638653.708	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638653.808	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638653.908	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.008	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.108	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.208	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.308	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.408	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.508	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.608	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.708	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.808	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638654.908	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.008	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.108	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.208	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.308	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.408	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.508	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.608	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.708	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.808	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638655.908	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638656.008	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638656.108	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638656.208	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
1779638656.308	   +0.0	  +0.0	 +0.0000	 -0.0000	      +inf
