# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639468.072	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0043	    +0.000	 -0.0050	 -0.0071
1779639468.172	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0006	      +inf	 -0.0030	 +0.0028
1779639468.272	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0023	    -0.000	 -0.0061	 +0.0067
1779639468.372	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 -0.0022	    -0.000	 -0.0014	 -0.0101
1779639468.472	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0013	    +0.000	 +0.0027	 -0.0008
1779639468.572	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0001	      +inf	 -0.0088	 -0.0046
1779639468.672	  -10.0	  +0.0	 +0.0000	 -0.0000	      +inf	 +0.0001	      +inf	+25.0075	 +0.0049
1779639468.772	  -10.0	  +0.0	 +2.0475	 -0.4606	    -4.445	 +0.0012	 +1763.839	+14.7514	 +0.0446
1779639468.872	  -10.0	  +0.0	 +3.5879	 -0.1930	   -18.594	 +0.0026	 +1360.880	 +7.0508	 +0.0136
1779639468.972	  -10.0	  +0.0	 +4.2495	 +5.2985	    +0.802	 +0.0033	 +1305.477	 +3.7473	 -0.4671
1779639469.072	  -10.0	  +0.0	 +4.5076	 -3.7684	    -1.196	 +0.0033	 +1357.288	 +2.4678	 -0.8426
1779639469.172	  -10.0	  +0.0	 +4.7093	 -0.6597	    -7.138	 -0.0029	 -1628.452	 +1.4583	 -1.2286
1779639469.272	  -10.0	  +0.0	 +4.8283	 +0.6087	    +7.932	 +0.0038	 +1282.444	 +0.8702	 -1.6531
1779639469.372	  -10.0	  +0.0	 +4.8986	 +2.1382	    +2.291	 -0.0044	 -1105.460	 +0.5043	 -1.9090
1779639469.472	  -10.0	  +0.0	 +4.9401	 +6.0676	    +0.814	 +0.0040	 +1248.658	 +0.3125	 -2.2061
1779639469.572	  -10.0	  +0.0	 +4.9768	 -7.3376	    -0.678	 -0.0041	 -1206.218	 +0.1366	 -2.4996
1779639469.672	  -10.0	  +0.0	 +4.9812	 -5.1784	    -0.962	 -0.0040	 -1237.654	 +0.1114	 -2.5686
1779639469.772	  -10.0	  +0.0	 +4.9910	 -2.5384	    -1.966	 +0.0039	 +1265.582	 +0.0560	 -2.7700
1779639469.872	  -10.0	  +0.0	 +4.9957	 -1.6145	    -3.094	 -0.0032	 -1543.072	 +0.0348	 -2.8664
1779639469.972	  -10.0	  +0.0	 +4.9979	 -1.1200	    -4.462	 -0.0044	 -1135.835	 +0.0257	 -2.9418
1779639470.072	  -10.0	  +0.0	 +4.9988	 -0.8843	    -5.653	 -0.0048	 -1050.751	 +0.0374	 -3.0108
1779639470.172	  -10.0	  +0.0	 +4.9992	 -0.7382	    -6.772	 -0.0054	  -934.291	 +0.0370	 -3.0239
1779639470.272	  -10.0	  +0.0	 +4.9995	 -0.5932	    -8.428	 +0.0029	 +1721.405	 +0.0245	 -3.1011
1779639470.372	  -10.0	  +0.0	 +4.9997	 -0.4791	   -10.436	 +0.0023	 +2147.082	 +0.0290	 -3.1365
1779639470.472	  -10.0	  +0.0	 +4.9998	 -0.3882	   -12.880	 +0.0018	 +2817.502	 +0.0272	 -3.1606
1779639470.572	  -10.0	  +0.0	 +4.9999	 -0.3152	   -15.863	 +0.0020	 +2557.653	-49.9698	 -3.1690
1779639470.672	  -10.0	  +0.0	 -0.3920	 +0.0201	   -19.508	 +0.0032	  -123.822	-46.0778	 -0.1075
1779639470.772	  -10.0	  +0.0	 -4.2269	 +0.1559	   -27.114	 +0.0006	      +inf	 -7.7299	 -2.2822
1779639470.872	  -10.0	  +0.0	 -4.8379	 -1.8115	    +2.671	 -0.0043	 +1114.845	 -2.0288	 -2.0830
1779639470.972	  -10.0	  +0.0	 -4.9469	 +4.1575	    -1.190	 -0.0045	 +1101.265	 -0.5348	 -1.0620
1779639471.072	  -10.0	  +0.0	 -4.9826	 -1.0451	    +4.768	 +0.0036	 -1391.418	 -0.1751	 -0.2775
1779639471.172	  -10.0	  +0.0	 -4.9943	 +1.9227	    -2.598	 -0.0041	 +1231.482	 -0.0521	 +0.3169
1779639471.272	  -10.0	  +0.0	 -4.9985	 -4.8095	    +1.039	 +0.0041	 -1217.175	 -0.0263	 +0.8735
1779639471.372	  -10.0	  +0.0	 -4.9996	 -0.4866	   +10.275	 -0.0040	 +1239.943	 -0.0074	 +1.4247
1779639471.472	  -10.0	  +0.0	 -3.6448	 +0.5915	    -6.162	 +0.0041	  -879.836	+18.2179	 +0.9557
1779639471.572	  -10.0	  +0.0	 -2.3914	 -1.8451	    +1.296	 +0.0020	 -1209.623	+35.7640	 +0.1859
1779639471.673	  -10.0	  +0.0	 +0.3074	 -0.0689	    -4.462	 +0.0017	  +177.189	+23.4573	 +0.0322
1779639471.772	  -10.0	  +0.0	 +3.1820	-172.3030	    -0.018	 +0.0035	  +897.453	 +9.0868	 -0.3099
1779639471.872	  -10.0	  +0.0	 +3.8072	 -1.7497	    -2.176	 -0.0042	  -901.535	 +5.9598	 -0.6488
1779639471.972	  -10.0	  +0.0	 +4.3661	 +0.0237	  +184.450	 +0.0052	  +832.460	 +2.8417	 -1.3147
1779639472.072	  -10.0	  +0.0	 +4.6631	 +1.5492	    +3.010	 -0.0074	  -628.783	 +1.6773	 -1.6519
1779639472.172	  -10.0	  +0.0	 +4.8011	 +4.2360	    +1.133	 +0.0073	  +654.857	 +1.0033	 -2.0466
1779639472.272	  -10.0	  +0.0	 +4.8825	+34.1990	    +0.143	 -0.0081	  -600.335	 +0.5897	 -2.2310
1779639472.372	  -10.0	  +0.0	 +4.9306	 -7.9389	    -0.621	 -0.0078	  -630.201	 +0.3291	 -2.4562
1779639472.472	  -10.0	  +0.0	 +4.9590	 -3.7319	    -1.329	 -0.0075	  -660.030	 +0.2210	 -2.5878
1779639472.572	  -10.0	  +0.0	 +4.9758	 -2.4196	    -2.056	 +0.0085	  +585.089	 +0.1401	 -2.7833
