# time	cmd_angle	cmd_speed	odom_v	odom_w	R_odom	imu_yaw_rate	R_imu	imu_ax	imu_ay
1779639170.568	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0009	      +inf	 +0.0179	 +3.2338
1779639170.668	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0006	      +inf	 +0.0157	 +3.2366
1779639170.768	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0004	      +inf	 +0.0173	 +3.2333
1779639170.868	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0013	 +3748.472	 +0.0278	 +3.2323
1779639170.968	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0010	 +4892.788	 +0.0280	 +3.2402
1779639171.068	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0022	 +2300.937	 +0.0355	 +3.2264
1779639171.168	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0014	 +3646.686	 +0.0199	 +3.2309
1779639171.268	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0003	      +inf	 +0.0250	 +3.2352
1779639171.368	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0002	      +inf	 +0.0200	 +3.2401
1779639171.468	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0008	      +inf	 +0.0275	 +3.2454
1779639171.568	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0012	 -4088.725	 +0.0333	 +3.2485
1779639171.668	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0009	      +inf	 +0.0165	 +3.2406
1779639171.768	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0011	 +4418.523	 +0.0167	 +3.2461
1779639171.868	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0005	      +inf	 +0.0436	 +3.2541
1779639171.968	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 -0.0001	      +inf	 +0.0503	 +3.2613
1779639172.069	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0010	 +4900.958	 +0.0807	 +3.2477
1779639172.169	   +0.0	  +0.0	 +5.0000	 +0.0000	      +inf	 +0.0003	      +inf	 +0.0776	 +3.2447
